station_uuid,timestamp,e5,e10,diesel,e5_change,e10_change,diesel_change
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T17:55:51,1.766,1.691,1.751,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T20:04:21,1.749,1.674,1.727,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T22:20:14,1.756,1.681,1.737,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T00:43:05,1.75,1.675,1.732,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T03:39:07,1.774,1.699,1.757,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T06:19:50,1.803,1.728,1.785,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T09:13:40,1.806,1.731,1.789,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T12:57:02,1.802,1.727,1.785,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T16:37:21,1.756,1.681,1.738,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T19:03:00,1.748,1.673,1.729,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-18T23:01:15,1.76,1.685,1.734,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T03:00:42,1.775,1.7,1.753,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T05:36:18,1.793,1.718,1.773,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T08:46:24,1.805,1.73,1.784,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T12:41:42,1.789,1.714,1.768,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T14:56:05,1.768,1.693,1.752,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T18:10:24,1.738,1.663,1.72,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-19T21:36:21,1.726,1.651,1.709,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T00:12:21,1.751,1.676,1.72,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T04:11:53,1.782,1.707,1.765,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T08:03:52,1.797,1.722,1.781,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T11:28:18,1.803,1.728,1.782,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T13:29:14,1.779,1.704,1.76,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T15:43:05,1.76,1.685,1.74,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T18:55:40,1.739,1.664,1.719,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-20T22:44:18,1.748,1.673,1.73,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T01:17:30,1.779,1.704,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T04:23:42,1.811,1.736,1.791,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T08:09:41,1.827,1.752,1.805,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T10:24:58,1.83,1.755,1.807,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T14:08:16,1.794,1.719,1.778,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T17:54:21,1.772,1.697,1.75,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-21T21:45:56,1.761,1.686,1.741,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T01:14:20,1.813,1.738,1.79,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T04:58:01,1.83,1.755,1.815,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T08:41:03,1.856,1.781,1.833,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T11:17:40,1.842,1.767,1.822,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T15:01:24,1.812,1.737,1.796,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T17:49:21,1.799,1.724,1.785,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T20:10:47,1.794,1.719,1.775,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-22T23:02:56,1.802,1.727,1.779,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T02:12:07,1.836,1.761,1.816,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T06:03:11,1.861,1.786,1.84,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T08:11:35,1.864,1.789,1.846,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T11:53:21,1.852,1.777,1.829,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T14:28:50,1.823,1.748,1.807,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T17:50:06,1.806,1.731,1.786,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T20:24:32,1.794,1.719,1.772,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-23T23:20:20,1.81,1.735,1.794,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T01:40:42,1.819,1.744,1.799,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T04:20:55,1.847,1.772,1.828,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T06:23:51,1.86,1.785,1.841,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T08:32:35,1.872,1.797,1.851,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T11:01:52,1.863,1.788,1.843,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T14:34:16,1.836,1.761,1.82,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T16:40:18,1.818,1.743,1.795,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T20:16:28,1.784,1.709,1.77,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-24T23:29:59,1.796,1.721,1.776,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T02:35:44,1.815,1.74,1.795,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T05:52:15,1.84,1.765,1.819,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T08:25:12,1.859,1.784,1.837,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T10:41:48,1.853,1.778,1.829,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T12:49:31,1.843,1.768,1.824,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T16:38:06,1.805,1.73,1.78,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-25T20:09:58,1.79,1.715,1.77,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T00:04:23,1.788,1.713,1.765,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T03:16:46,1.818,1.743,1.801,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T06:38:16,1.839,1.764,1.822,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T08:53:35,1.841,1.766,1.82,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T12:10:43,1.822,1.747,1.803,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T14:56:12,1.81,1.735,1.786,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T18:36:02,1.78,1.705,1.76,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-26T21:40:46,1.778,1.703,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T01:11:16,1.798,1.723,1.779,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T03:29:34,1.823,1.748,1.804,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T07:01:35,1.842,1.767,1.819,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T09:15:20,1.841,1.766,1.823,1,0,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T12:36:37,1.829,1.754,1.812,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T14:45:44,1.81,1.735,1.791,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T17:57:47,1.793,1.718,1.772,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-27T20:39:27,1.775,1.7,1.752,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T00:18:08,1.809,1.734,1.788,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T03:57:34,1.826,1.751,1.808,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T07:34:33,1.85,1.775,1.83,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T11:02:17,1.852,1.777,1.837,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T13:31:32,1.828,1.753,1.807,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T15:34:59,1.812,1.737,1.793,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T19:20:37,1.787,1.712,1.768,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-28T23:14:23,1.804,1.729,1.784,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T02:31:54,1.834,1.759,1.813,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T04:58:29,1.847,1.772,1.824,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T07:49:33,1.864,1.789,1.848,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T10:22:04,1.866,1.791,1.848,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T13:53:31,1.845,1.77,1.829,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T17:20:28,1.813,1.738,1.795,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T19:47:46,1.811,1.736,1.791,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-29T22:20:41,1.811,1.736,1.796,0,0,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T01:19:36,1.841,1.766,1.819,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T04:12:27,1.873,1.798,1.848,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T07:00:32,1.888,1.813,1.867,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T09:18:26,1.886,1.811,1.869,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T12:31:12,1.874,1.799,1.858,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T15:25:16,1.845,1.77,1.824,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T18:38:25,1.827,1.752,1.806,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T21:03:44,1.818,1.743,1.798,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-30T23:57:48,1.829,1.754,1.811,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T03:22:38,1.862,1.787,1.847,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T06:37:38,1.889,1.814,1.868,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T09:42:59,1.879,1.804,1.86,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T12:19:54,1.867,1.792,1.846,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T14:34:49,1.845,1.77,1.822,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T16:44:29,1.83,1.755,1.811,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T19:14:31,1.828,1.753,1.801,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-31T23:14:28,1.829,1.754,1.81,0,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T02:45:13,1.839,1.764,1.821,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T06:01:24,1.874,1.799,1.856,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T08:41:24,1.867,1.792,1.846,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T12:34:49,1.85,1.775,1.829,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T15:12:33,1.834,1.759,1.805,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T18:31:29,1.8,1.725,1.781,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-01T21:14:53,1.794,1.719,1.775,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T01:06:13,1.812,1.737,1.791,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T05:02:59,1.843,1.768,1.82,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T07:14:10,1.857,1.782,1.835,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T09:28:16,1.851,1.776,1.828,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T13:08:26,1.83,1.755,1.814,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T15:54:28,1.812,1.737,1.794,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T19:29:16,1.793,1.718,1.771,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-02T23:07:44,1.801,1.726,1.784,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T01:25:34,1.809,1.734,1.792,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T04:30:47,1.837,1.762,1.816,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T06:58:48,1.852,1.777,1.833,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T10:23:26,1.843,1.768,1.826,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T13:22:52,1.814,1.739,1.793,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T17:07:14,1.784,1.709,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T19:56:26,1.782,1.707,1.764,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-03T23:52:44,1.792,1.717,1.776,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T03:35:52,1.822,1.747,1.807,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T07:06:59,1.849,1.774,1.825,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T11:06:41,1.835,1.76,1.816,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T14:22:44,1.811,1.736,1.792,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T17:58:16,1.787,1.712,1.768,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-04T21:02:00,1.773,1.698,1.758,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T00:16:22,1.809,1.734,1.788,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T03:11:42,1.837,1.762,1.819,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T06:33:01,1.847,1.772,1.827,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T09:43:32,1.849,1.774,1.83,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T12:29:42,1.834,1.759,1.818,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T15:38:40,1.809,1.734,1.788,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T18:46:35,1.787,1.712,1.766,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-05T21:59:21,1.778,1.703,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T00:41:38,1.794,1.719,1.771,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T04:08:08,1.825,1.75,1.808,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T06:45:13,1.836,1.761,1.814,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T08:56:02,1.852,1.777,1.834,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T12:52:36,1.837,1.762,1.814,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T15:23:27,1.801,1.726,1.781,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T17:37:16,1.794,1.719,1.78,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-06T21:20:29,1.766,1.691,1.747,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T00:55:22,1.79,1.715,1.77,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T04:16:06,1.824,1.749,1.805,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T06:44:10,1.844,1.769,1.822,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T10:33:59,1.842,1.767,1.824,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T13:22:59,1.822,1.747,1.801,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T16:22:06,1.801,1.726,1.777,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T19:51:17,1.775,1.7,1.757,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-07T22:09:49,1.784,1.709,1.758,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T00:13:45,1.778,1.703,1.761,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T03:56:24,1.821,1.746,1.803,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T06:44:11,1.844,1.769,1.828,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T09:38:45,1.835,1.76,1.82,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T12:07:58,1.823,1.748,1.802,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T15:39:47,1.8,1.725,1.78,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T19:27:51,1.776,1.701,1.754,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-08T21:43:27,1.777,1.702,1.757,0,0,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T01:18:15,1.784,1.709,1.766,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T03:24:32,1.798,1.723,1.773,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T06:26:08,1.815,1.74,1.795,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T08:31:20,1.823,1.748,1.795,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T10:38:38,1.823,1.748,1.805,0,0,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T13:37:28,1.806,1.731,1.785,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T16:10:28,1.777,1.702,1.756,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T20:09:49,1.759,1.684,1.743,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-09T23:52:09,1.774,1.699,1.749,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T02:17:58,1.795,1.72,1.772,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T04:29:22,1.811,1.736,1.788,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T06:47:41,1.825,1.75,1.807,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T10:16:21,1.822,1.747,1.8,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T13:23:44,1.807,1.732,1.784,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T17:07:54,1.773,1.698,1.752,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T19:50:06,1.756,1.681,1.736,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-10T23:31:33,1.768,1.693,1.745,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T03:08:25,1.805,1.73,1.781,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T05:11:34,1.829,1.754,1.806,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T07:33:13,1.832,1.757,1.818,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T10:41:10,1.836,1.761,1.819,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T12:44:51,1.817,1.742,1.795,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T16:11:26,1.785,1.71,1.764,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T18:17:45,1.78,1.705,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T21:16:02,1.775,1.7,1.76,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-11T23:29:42,1.785,1.71,1.761,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-12T01:35:09,1.811,1.736,1.791,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-12T04:11:19,1.841,1.766,1.82,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-06-12T07:40:57,1.851,1.776,1.834,1,1,1
